method,HCC_003,HCC_011,HCC_026,HCC_055,HCC_068,HCC_078,HCC_052,HCC_020,HCC_047,HCC_082,HCC_060,HCC_028,HCC_071,HCC_021,HCC_083,HCC_081,HCC_025,HCC_102,HCC_058,HCC_059,HCC_093
Baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SizeOV2,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
SizeOV3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NoMirror,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
SizeOV3_NoMirror,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0
MoE,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
MoE_SizeOV2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MoE_SizeOV4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MoE_SizeOV5,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
MLAUNet,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MLAUNet_1500,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MLAUNet_MoE_IB7_SizeOV4,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
MLA_GK5_V4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DeepPlainResGN,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
DeepPlainResGN_SizeOV4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
DeepDWIBResGN,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DeepDWIBMedConfig,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DeepResGN_MLA,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
DWSepRes4_MoE_SizeOV4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MedNeXt,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MedNeXt_SizeOV4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
MedNeXt_MHA,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MedNeXt_MHA_MoE,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MedNeXt_MLA,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MedNeXt_MLA_MoE,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MedNeXt_MLA_MoE_SizeOV4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MedNeXt_MLA_MoE_FPSafe,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SwinUNETR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
nnFormer,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0
EfficientMedNeXt_L_Official,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
