dataset,method,n_total,n_positive,n_negative,liver_dice,tumor_dice,overall,tumor_recall,tumor_precision,trainer,fold,checkpoint,checkpoint_epoch,checkpoint_path,artifact_status
Internal,MedNeXt,26,23,3,0.9521297428843847,0.7600085053164969,0.8560691241004408,0.7334088921778962,0.8481041586650945,nnUNetTrainer_MedNeXt,0,checkpoint_best.pth,987,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,partial
Internal,MedNeXt_MHA,26,23,3,0.9532772958698186,0.7543694373171365,0.8538233665934776,0.7330274362322334,0.8084369838314097,nnUNetTrainer_MedNeXt_MHA,0,checkpoint_best.pth,1000,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MHA__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,partial
Internal,MedNeXt_MLA,26,23,3,0.951271670268218,0.7534763067857281,0.852373988526973,0.7577206582202681,0.775231059914927,nnUNetTrainer_MedNeXt_MLA,0,checkpoint_best.pth,946,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,partial
Internal,MedNeXt_MHA_MoE,26,23,3,0.9517417950750393,0.7499478248036417,0.8508448099393405,0.7302169729832191,0.7986147205438049,nnUNetTrainer_MedNeXt_MHA_MoE,0,checkpoint_best.pth,957,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MHA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,partial
Internal,MedNeXt_MLA_MoE,26,23,3,0.9534916705169987,0.7589612930076884,0.8562264817623435,0.7323044920125173,0.8609855176275453,nnUNetTrainer_MedNeXt_MLA_MoE,0,checkpoint_best.pth,998,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,partial
Internal,MedNeXt_MLA_MoE_SizeOV4,26,23,3,0.9529193049443199,0.7652596050725841,0.859089455008452,0.7458964037674494,0.8451018503109108,nnUNetTrainer_MedNeXt_MLA_MoE_SizeOV4,0,checkpoint_best.pth,995,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE_SizeOV4__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,partial
IRCADb,MedNeXt,20,15,5,0.9659963884977134,0.6899549938756696,0.8279756911866916,0.6554151098366134,0.7876713670796326,nnUNetTrainer_MedNeXt,0,checkpoint_best.pth,987,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,complete
IRCADb,MedNeXt_MHA,20,15,5,0.9671502352733474,0.730315862300367,0.8487330487868572,0.6584439099030549,0.84483549983611,nnUNetTrainer_MedNeXt_MHA,0,checkpoint_best.pth,1000,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MHA__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,complete
IRCADb,MedNeXt_MLA,20,15,5,0.9659647952891065,0.6778259829906541,0.8218953891398804,0.6779184465148466,0.7572006912115027,nnUNetTrainer_MedNeXt_MLA,0,checkpoint_best.pth,946,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,complete
IRCADb,MedNeXt_MHA_MoE,20,15,5,0.966424717481447,0.7261276596655368,0.846276188573492,0.6502263646127721,0.8446476538953827,nnUNetTrainer_MedNeXt_MHA_MoE,0,checkpoint_best.pth,957,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MHA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,complete
IRCADb,MedNeXt_MLA_MoE,20,15,5,0.9673440496898715,0.7348807273015739,0.8511123884957228,0.6665158012065848,0.8428146834796058,nnUNetTrainer_MedNeXt_MLA_MoE,0,checkpoint_best.pth,998,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,complete
IRCADb,MedNeXt_MLA_MoE_SizeOV4,20,15,5,0.964956951280865,0.730872231075009,0.847914591177937,0.6579617264563087,0.842308237372208,nnUNetTrainer_MedNeXt_MLA_MoE_SizeOV4,0,checkpoint_best.pth,995,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MLA_MoE_SizeOV4__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,complete
HCC,MedNeXt,21,21,0,0.8383156066673871,0.41745956430039016,0.6278875854838887,0.35818946188807094,0.62952361482556,nnUNetTrainer_MedNeXt,0,checkpoint_best.pth,987,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,complete
HCC,MedNeXt_MHA,21,21,0,0.8434786651902638,0.4034701256200263,0.623474395405145,0.33555829851845864,0.6583326817584021,nnUNetTrainer_MedNeXt_MHA,0,checkpoint_best.pth,1000,/home/PuMengYu/nnUNet_workspace/results_v2/Dataset003_Liver/nnUNetTrainer_MedNeXt_MHA__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,complete
