case,n_tumor_vox,n_liver_vox,vol_tumor_mm3,vol_liver_mm3,t_l_ratio_pct,mu_tumor,mu_liver,median_tumor,median_liver,std_tumor,std_liver,iqr_tumor,iqr_liver,contrast,cohens_d,cnr,hist_overlap,bhattacharyya,auc,auc_sep,skew_tumor,kurt_tumor,bimodality
liver_0,2591,550036,6404.754638671875,1359647.0947265625,0.47106007606774836,87.12466229255114,120.73142303412868,89.0,122.0,24.15994827734515,21.64180389449312,33.0,21.0,-33.606760741577546,-1.4652751125618473,-1.552863195019015,0.38160796402620784,0.7285380005404477,0.13371106029061458,0.7325778794187708,-0.17171620170654178,2.723570039447823,0.377991547497431
liver_1,7194,643779,16426.778722835887,1470004.890104054,1.1174642229709264,66.7959410619961,113.8816519333498,68.0,115.0,22.205226092427434,21.151920653763643,27.0,20.0,-47.0857108713537,-2.17135240392612,-2.2260725936949632,0.20367128418766772,0.5033442968014737,0.05213503589042699,0.895729928219146,-0.732457024909115,4.837568029392528,0.317616886006181
liver_10,24310,2857366,14395.855560302734,1692070.268157959,0.8507835538044479,47.73327848621966,92.72051987739758,47.0,93.0,25.737617445623005,27.470535664271242,35.0,34.0,-44.98724139117792,-1.6900944065366188,-1.6376543195584377,0.37460769628166,0.6962745412448978,0.11246088304320792,0.7750782339135842,0.09672397340956489,3.1662440294686105,0.3187863972700594
liver_100,1569689,5003071,537202.2411990771,1712225.1312700212,31.374509776095522,61.46619617006936,111.04910184164886,61.0,112.0,41.96825475724052,37.25951090642699,56.0,49.0,-49.5829056715795,-1.2494500173442713,-1.3307449417707418,0.5152043133064413,0.8211521668472872,0.18611688142840993,0.6277662371431801,0.12171551044414286,3.0924415767520927,0.32815968880760893
liver_101,378439,6481591,131694.73135138353,2255558.717453923,5.838674485940257,57.54888370384659,109.49475753715407,57.0,110.0,37.54240103161734,34.733513537924885,51.0,45.0,-51.94587383330748,-1.436348192793088,-1.4955548270862011,0.4612081861880404,0.7723638034519866,0.15299263693229714,0.6940147261354057,0.002502510854953576,3.0675357699385883,0.32599661016523346
liver_102,47754,5061264,17174.765781096157,1820287.8032477668,0.9435192473658754,69.69971101897224,86.7827728409346,69.0,87.0,41.57391658462512,39.96257149551545,56.0,52.0,-17.08306182196236,-0.41894683798871124,-0.42747654073961183,0.8233022310153468,0.9768538726533245,0.38145137598776047,0.23709724802447907,0.012510838323964766,3.0133946469271784,0.3319035965287351
liver_103,75787,2374639,38824.074190174615,1216477.2416229967,3.19151668948417,82.27064008339161,107.81940918177457,83.0,109.0,40.625498495973694,42.16122396172823,54.0,55.0,-25.548769098382962,-0.6171128314961161,-0.6059778796169392,0.7471010949596095,0.952150911724768,0.3284328940580191,0.34313421188396176,-0.09168613030305682,3.1935784957022526,0.31576062647184294
liver_104,275918,2951625,134639.38361216124,1440300.9975943773,9.348003218566044,11.673138396190172,98.68421564392496,8.0,98.0,68.55366896771066,58.86761548468735,26.0,28.0,-87.01107724773479,-1.3617939614646275,-1.4780805461768385,0.07993359786395629,0.37834506125397716,0.03784832034058747,0.924303359318825,24.64757549046582,813.6830576570175,0.7478378366515118
liver_105,0,3520581,0.0,1754445.7555711851,0.0,,91.99173971568898,,92.0,,30.583104823179262,,40.0,,,,,,,,,,
liver_106,0,2312280,0.0,983072.2564419899,0.0,,105.78142309754874,,106.0,,21.406208864394404,,27.0,,,,,,,,,,
liver_107,5953,3140434,2912.3219800653583,1536360.652636414,0.18955978695938205,99.23702334957164,123.5908011440457,100.0,124.0,24.683130663822542,29.69685329443462,34.0,32.0,-24.353777794474055,-0.8919062541654754,-0.8200794054849612,0.6099048238097258,0.8724406884598606,0.24306263471454345,0.513874730570913,-0.13435767351008165,2.876203958848845,0.35395681217214536
liver_108,1455033,3402280,618611.3163230915,1446488.7801855544,42.76640958416121,60.77518791670017,101.44597622770613,59.0,103.0,27.267419515599165,26.41792892940778,36.0,31.0,-40.67078831100596,-1.514964466061899,-1.5395146387017586,0.4045454634201846,0.7478266413831276,0.1398345958802939,0.7203308082394122,0.3230823901875779,3.113603807174089,0.3546958120698269
liver_109,72822,3120254,33915.770257176686,1453212.1859882532,2.33384846233672,22.36931147180797,83.59582040436452,20.0,84.0,29.72042048352016,26.504528231088248,39.0,34.0,-61.22650893255655,-2.1743587005897806,-2.3100395675310104,0.26793234851256215,0.5777713989765202,0.06705676320372267,0.8658864735925547,0.29080063880830836,3.0743183282049844,0.35278227423006314
liver_11,10549,3253446,4761.987548828125,1468657.6303710938,0.32424082034863955,53.41093942553797,79.95150557286028,53.0,79.0,27.461407140386804,29.642875042228223,37.0,37.0,-26.540566147322316,-0.9288697897705817,-0.8953438595113846,0.6378258215902672,0.895140540726719,0.2549533399275219,0.4900933201449562,0.03760740964777497,3.0942846597244604,0.32363354616171264
liver_110,124406,3097843,51593.66118910094,1284737.5702058424,4.0158910571000535,93.25191711010723,130.51650583970846,95.0,131.0,30.80696648657607,29.038532774457714,39.0,37.0,-37.26458872960123,-1.2448164050900712,-1.283280702197845,0.5184485309619252,0.8164084785894337,0.18367801882518553,0.6326439623496289,-0.4258523003295484,3.616498763608601,0.32665576816545006
liver_111,7300,4599573,3571.300261124998,2250199.4871182865,0.15871038463787834,73.06808219178082,125.87146459030001,73.0,126.0,30.294836946864066,30.579911357697693,42.0,38.0,-52.80338239851919,-1.7348015354456927,-1.7267343185161759,0.3734297180099467,0.678428539177143,0.10736905457355603,0.7852618908528879,-0.03533628997268909,2.897634029255738,0.34554006588824
liver_112,1181,3976313,386.9900684667968,1302958.205008818,0.029700881193205866,52.29805249788315,139.307890752061,50.0,139.0,33.30099160582457,24.64989430667676,42.0,29.0,-87.00983825417786,-2.9699707944155542,-3.5298260175748526,0.13969903583914686,0.3686118323960006,0.024419217434798794,0.9511615651304024,0.427894702886046,3.4908420833218288,0.3389136055195383
liver_113,84270,3286066,41121.133296837565,1603497.7810395851,2.56446462122185,80.46073335706657,117.43037175759707,81.0,118.0,24.87554486814286,23.028331536218072,33.0,28.0,-36.9696384005305,-1.5423462989593186,-1.6053980438133817,0.41295131371392013,0.7391797933935595,0.13167156043544115,0.7366568791291177,-0.09877636704639148,3.9868856350316992,0.2532695600331297
liver_114,0,3696170,0.0,1808237.38166608,0.0,,100.20234269527646,,99.0,,34.246784043164546,,38.0,,,,,,,,,,
liver_115,0,3309518,0.0,1513206.8956387076,0.0,,126.32484035439602,,127.0,,26.479767276661484,,31.0,,,,,,,,,,
liver_116,611132,3649978,266351.94080096745,1590783.5364223009,16.743443385138214,57.87188365197699,66.77768852305411,57.0,66.0,33.13714930334482,32.24024188734498,42.0,41.0,-8.905804871077123,-0.2724173219976937,-0.2762325699104898,0.8745667977730065,0.9886253317914995,0.4175705947167342,0.16485881056653162,0.29161009241690555,3.5604123489353565,0.30475021982323103
liver_117,1034092,4009641,382531.32638744666,1483246.45202505,25.790139316711898,69.19642643014355,117.95640731925876,68.0,118.0,26.3444821949837,26.155568921287138,35.0,32.0,-48.75998088911521,-1.8575092473734416,-1.8642294127057242,0.32309795114491224,0.6539834513727618,0.0940352944953817,0.8119294110092365,0.18149411610189425,3.28612136692941,0.3143341340264615
liver_118,419119,2138650,348127.7455844879,1776400.9818077087,19.597362822341196,72.602301494325,90.53880719145255,73.0,90.0,29.468499289951353,28.479495345040743,40.0,36.0,-17.936505697127544,-0.6189651274898248,-0.629804197013305,0.7632645802135206,0.950111878308427,0.33326491019944104,0.3334701796011179,-0.09705119107367027,3.1509023187185394,0.3203586882691257
liver_119,0,2360092,0.0,2520274.025390625,0.0,,74.33984268409876,,73.0,,23.05258773454578,,29.0,,,,,,,,,,
liver_12,790,4205057,338.20247650146484,1800203.4066200256,0.018786903483115687,55.5253164556962,84.15849178738837,55.0,84.0,21.789295759844613,26.336024802306966,30.0,34.0,-28.633175331692172,-1.1846668679245242,-1.0872246493777595,0.5448714223392441,0.8168964482824232,0.19756627901998997,0.6048674419600201,-0.00036077155869134017,2.847415515178448,0.3511957158431959
liver_120,5231,1910010,4344.9622592926025,1586488.5040855408,0.2738729116601484,83.39132097113362,115.51606064889712,85.0,116.0,16.68132134269096,18.529750838293882,22.0,22.0,-32.1247396777635,-1.8221862802157416,-1.7336843845398069,0.3272879778891522,0.634658672451945,0.0933372177173877,0.8133255645652246,-0.3398496141442162,3.1273349011922944,0.3566927737124316
liver_121,2123,1905575,2012.2880573272705,1806201.5142917633,0.11140994188105953,97.70089495996231,77.45300237461134,99.0,77.0,24.471339887365886,23.96418268475364,31.0,29.0,20.247892585350968,0.8360303199859148,0.8449231443321024,0.6299651888502357,0.9016267182745901,0.7361425493282475,0.47228509865649504,-0.3444326094719525,3.4124963681164058,0.3278051320198504
liver_122,79803,1775382,56901.00876045227,1265880.0638465881,4.49497629242608,91.68967332055186,107.09400737418764,92.0,107.0,16.910145810635715,18.231103135534465,22.0,22.0,-15.404334053635779,-0.8760907962816374,-0.844947995692647,0.6332083767296003,0.9002084615339646,0.25764453400528775,0.4847109319894245,-0.33729755038146997,4.301955198079309,0.25889847434733965
liver_123,228251,2662589,191585.0311603546,2234873.8736400604,8.572520956107008,51.38543971329808,75.45101403183142,51.0,76.0,22.536712486801232,21.71747245176786,30.0,27.0,-24.065574318533344,-1.0874204001152628,-1.1081204026840767,0.5573096756683014,0.8547469083324929,0.2127711244780468,0.5744577510439064,0.12220234017451886,3.406471340029949,0.2979427421030954
liver_124,72092,1423640,52869.41907836442,1044041.2220041436,5.063920654097946,64.97977584197969,106.58665392936416,65.0,107.0,20.41227221901911,17.497390036946634,28.0,21.0,-41.60687808738447,-2.188593945429326,-2.377890531075173,0.242603508792683,0.5465086376794654,0.058109961322628426,0.8837800773547432,-0.0017260449663036581,3.0424170799796078,0.3286870119851971
liver_125,754,2126819,574.7889518737793,1621315.7345294952,0.03545200602401991,55.87135278514589,109.16855030917064,56.0,109.0,20.263336677095797,20.52976012487573,26.0,23.0,-53.29719752402475,-2.6129941111835406,-2.596094508646743,0.16934715679290527,0.4257285990836791,0.034010007421165035,0.9319799851576699,0.13068028016355782,3.1586566496927535,0.3219968006723866
liver_126,5090,2658803,3366.8746948242188,1758714.4477844238,0.19143953124770807,45.72593320235757,114.57925389733651,46.0,114.0,29.074880214587147,27.062803618264,40.0,33.0,-68.85332069497895,-2.4514419847663267,-2.5442050153485054,0.20577574250259376,0.47129139139670656,0.040195475920794636,0.9196090481584107,-0.01373817414626617,2.950696190722994,0.3389670344827341
liver_127,298,3915126,124.15624407093446,1631165.56786732,0.007611504712747431,79.13758389261746,96.2648165090983,78.0,96.0,25.20142740313956,27.057572150229525,35.0,34.0,-17.12723261648084,-0.6550618885705162,-0.6329922182739353,0.70584287503041,0.9283601773476042,0.3139092736888679,0.3721814526222642,0.3662840352432569,3.3212832099140335,0.3414836744691338
liver_128,326553,5218227,139518.49127635796,2229467.0640831827,6.25793013604046,55.189904854648404,78.94027243352963,56.0,79.0,41.696052582632284,42.44042400809816,55.0,54.0,-23.750367578881225,-0.5645455833704943,-0.5596166422453592,0.7705687644711613,0.9603098568057399,0.3423676664702624,0.3152646670594752,-0.030471516780347735,3.313854144212992,0.3020436234596577
liver_129,1909785,7623450,664594.8819067326,2652919.492231786,25.0514530822659,43.957220315375814,92.52489489666752,44.0,93.0,46.68930079924489,42.347003427855626,62.0,55.0,-48.567674581291705,-1.0896682763043177,-1.1468975523624454,0.5701872513520152,0.8613666928048288,0.21859072708607982,0.5628185458278403,0.023113681805793998,3.138227196687505,0.3188214809121258
liver_13,23651,1876901,16993.742965698242,1348593.005203247,1.2601090840699642,36.43922032895015,55.58681944332706,37.0,54.0,20.778141108148876,27.03820442046398,27.0,31.0,-19.14759911437691,-0.7941044424409768,-0.7081682946329442,0.67227594212998,0.9112403573662434,0.28199596136478544,0.4360080772704291,-0.06254494655655941,3.3239603111085576,0.30202282108625816
liver_130,1383692,3878659,452619.9633429378,1268749.4719921455,35.67449471582833,83.17995623303452,109.49989596919967,84.0,111.0,37.14553491684214,33.88604529412193,50.0,42.0,-26.319939736165153,-0.7402981156164169,-0.7767191334283781,0.6897635809303544,0.9292171214479854,0.2951621210511539,0.40967575789769217,-0.1847698894994244,3.030919759023584,0.34119673046005666
